species_code,English name
paifra1,Painted Francolin
coqfra2,Coqui Francolin
whtfra2,White-throated Francolin
schfra2,Schlegel's Francolin
rinfra2,Ring-necked Francolin
rewfra2,Red-winged Francolin
finfra2,Finsch's Francolin
moofra2,Moorland Francolin
moofra3,Elgon Francolin
gywfra1,Gray-winged Francolin
orrfra2,Orange River Francolin
shefra1,Shelley's Francolin
shefra3,Whyte's Francolin
tibsno1,Tibetan Snowcock
altsno1,Altai Snowcock
causno1,Caucasian Snowcock
cassno1,Caspian Snowcock
himsno,Himalayan Snowcock
sespar1,See-see Partridge
sanpar1,Sand Partridge
broqua1,Brown Quail
snmqua2,Snow Mountain Quail
blbqua1,Blue-breasted Quail
bluqua1,Blue Quail
madpar2,Madagascar Partridge
comqua1,Common Quail
japqua,Japanese Quail
harqua1,Harlequin Quail
raiqua1,Rain Quail
stuqua1,Stubble Quail
nezqua1,New Zealand Quail
barpar2,Barbary Partridge
arapar1,Arabian Partridge
relpar1,Red-legged Partridge
chukar,Chukar
rocpar2,Rock Partridge
phipar1,Philby's Partridge
przpar1,Przevalski's Partridge
jubqua1,Jungle Bush-Quail
robqua1,Rock Bush-Quail
pabqua1,Painted Bush-Quail
mabqua1,Manipur Bush-Quail
himqua1,Himalayan Quail
harfra3,Hartlaub's Spurfowl
camfra2,Mount Cameroon Spurfowl
hanfra2,Handsome Spurfowl
chnfra2,Chestnut-naped Spurfowl
ercfra,Erckel's Spurfowl
djifra1,Djibouti Spurfowl
swifra2,Swierstra's Spurfowl
ahafra2,Ahanta Spurfowl
gysfra1,Gray-striped Spurfowl
jacfra2,Jackson's Spurfowl
rebfra1,Red-billed Spurfowl
capfra2,Cape Spurfowl
natfra2,Natal Spurfowl
hilfra2,Hildebrandt's Spurfowl
dosfra2,Double-spurred Spurfowl
scafra2,Scaly Spurfowl
heufra1,Heuglin's Spurfowl
clafra1,Clapperton's Spurfowl
harfra4,Harwood's Spurfowl
swafra2,Swainson's Spurfowl
yenspu1,Yellow-necked Spurfowl
gybfra1,Gray-breasted Spurfowl
renfra1,Red-necked Spurfowl
rocpig,Rock Pigeon
hilpig1,Hill Pigeon
snopig1,Snow Pigeon
spepig1,Speckled Pigeon
whcpig1,White-collared Pigeon
stodov1,Stock Dove
pabpig1,Yellow-eyed Pigeon
sompig1,Somali Pigeon
cowpig1,Common Wood-Pigeon
tropig1,Trocaz Pigeon
bolpig1,Bolle's Pigeon
afepig1,Afep Pigeon
laupig1,Laurel Pigeon
rampig1,Rameron Pigeon
campig1,Cameroon Pigeon
marpig1,Maroon Pigeon
delpig1,Eastern Bronze-naped Pigeon
brnpig1,Western Bronze-naped Pigeon
satpig1,Sao Tome Pigeon
mauwop1,Mauritius Wood-Pigeon
compig1,Comoro Pigeon
spwpig1,Speckled Wood-Pigeon
whnpig1,White-naped Pigeon
aswpig1,Ashy Wood-Pigeon
niwpig1,Nilgiri Wood-Pigeon
ceywop1,Sri Lanka Wood-Pigeon
pacpig1,Pale-capped Pigeon
siwpig1,Silvery Wood-Pigeon
anwpig1,Andaman Wood-Pigeon
jawpig1,Black Wood-Pigeon
ryupig1,Ryukyu Pigeon
bonpig1,Bonin Pigeon
metpig1,Metallic Pigeon
whhpig1,White-headed Pigeon
yelpig1,Yellow-legged Pigeon
lemdov2,Lemon Dove
pavpig2,Pale-vented Pigeon
scapig2,Scaled Pigeon
scnpig1,Scaly-naped Pigeon
picpig2,Picazuro Pigeon
baepig2,Bare-eyed Pigeon
spwpig3,Spot-winged Pigeon
whcpig2,White-crowned Pigeon
rebpig1,Red-billed Pigeon
plapig,Plain Pigeon
batpig1,Band-tailed Pigeon
chipig2,Chilean Pigeon
ritpig,Ring-tailed Pigeon
perpig2,Peruvian Pigeon
plupig2,Plumbeous Pigeon
rudpig,Ruddy Pigeon
shbpig,Short-billed Pigeon
duspig2,Dusky Pigeon
paspig,Passenger Pigeon
matdov1,Malagasy Turtle-Dove
pinpig2,Pink Pigeon
mautud1,Mauritius Turtle-Dove
rodtud1,Rodrigues Turtle-Dove
eutdov,European Turtle-Dove
dutdov1,Dusky Turtle-Dove
adtdov1,Adamawa Turtle-Dove
ortdov,Oriental Turtle-Dove
iscdov1,Sunda Collared-Dove
phicod1,Philippine Collared-Dove
eucdov,Eurasian Collared-Dove
eurcod2,Burmese Collared-Dove
afcdov1,African Collared-Dove
wwcdov1,White-winged Collared-Dove
afmdov1,Mourning Collared-Dove
reedov1,Red-eyed Dove
rindov,Ring-necked Dove
vindov1,Vinaceous Dove
recdov1,Red Collared-Dove
spodov,Spotted Dove
laudov1,Laughing Dove
bacdov1,Barred Cuckoo-Dove
brcdov1,Brown Cuckoo-Dove
ducdov1,Flores Sea Cuckoo-Dove
timcud1,Timor Cuckoo-Dove
tancud1,Tanimbar Cuckoo-Dove
sbcdov1,Amboyna Cuckoo-Dove
sulcud1,Sultan's Cuckoo-Dove
ancdov1,Andaman Cuckoo-Dove
phcdov1,Philippine Cuckoo-Dove
rucdov1,Ruddy Cuckoo-Dove
engcud1,Enggano Cuckoo-Dove
barcud1,Barusan Cuckoo-Dove
bbcdov1,Black-billed Cuckoo-Dove
macdov1,Spot-breasted Cuckoo-Dove
licdov1,Little Cuckoo-Dove
grcdov2,Great Cuckoo-Dove
picdov1,Pied Cuckoo-Dove
crcdov1,Crested Cuckoo-Dove
wfcdov1,White-faced Cuckoo-Dove
sulcud2,Sula Cuckoo-Dove
slacud1,Slaty Cuckoo-Dove
eswdov1,Emerald-spotted Wood-Dove
bbwdov1,Black-billed Wood-Dove
bswdov1,Blue-spotted Wood-Dove
tamdov1,Tambourine Dove
bhwdov1,Blue-headed Wood-Dove
namdov1,Namaqua Dove
emedov2,Asian Emerald Dove
emedov3,Pacific Emerald Dove
stedov1,Stephan's Dove
negbro1,New Guinea Bronzewing
nebbro1,New Britain Bronzewing
wegdov1,Wetar Ground Dove
frgdov1,Shy Ground Dove
scgdov1,Santa Cruz Ground Dove
tbgdov1,Thick-billed Ground Dove
tangrd1,Tanna Ground Dove
brgdov1,Bronze Ground Dove
pagdov1,Palau Ground Dove
wbgdov1,White-bibbed Ground Dove
margrd1,Marquesan Ground Dove
cigdov1,Caroline Islands Ground Dove
pogdov1,Polynesian Ground Dove
wtgdov1,White-throated Ground Dove
norgrd1,Norfolk Ground Dove
combro1,Common Bronzewing
brubro1,Brush Bronzewing
flobro1,Flock Bronzewing
crepig1,Crested Pigeon
spipig2,Spinifex Pigeon
squpig1,Squatter Pigeon
parpig1,Partridge Pigeon
cqrpig1,Chestnut-quilled Rock-Pigeon
wqrpig1,White-quilled Rock-Pigeon
wonpig1,Wonga Pigeon
diadov1,Diamond Dove
zebdov,Zebra Dove
peadov1,Peaceful Dove
bardov2,Barred Dove
basdov1,Bar-shouldered Dove
incdov,Inca Dove
cogdov,Common Ground Dove
pbgdov1,Plain-breasted Ground Dove
rugdov,Ruddy Ground Dove
ecgdov1,Ecuadorian Ground Dove
scadov1,Scaled Dove
pigdov1,Picui Ground Dove
crgdov1,Croaking Ground Dove
begdov2,Blue-eyed Ground Dove
blgdov1,Blue Ground Dove
mcgdov1,Maroon-chested Ground Dove
pwgdov1,Purple-winged Ground Dove
bfgdov1,Bare-faced Ground Dove
begdov1,Bare-eyed Ground Dove
bwgdov1,Black-winged Ground Dove
gsgdov1,Golden-spotted Ground Dove
ltgdov1,Long-tailed Ground Dove
bhqdov1,Blue-headed Quail-Dove
sapqud1,Purple Quail-Dove
sapqud2,Sapphire Quail-Dove
crqdov1,Crested Quail-Dove
ruqdov,Ruddy Quail-Dove
viqdov1,Violaceous Quail-Dove
gfqdov,Gray-fronted Quail-Dove
wfqdov,White-fronted Quail-Dove
kwqdov,Key West Quail-Dove
brqdov1,Bridled Quail-Dove
obqdov1,Olive-backed Quail-Dove
whtdov,White-tipped Dove
cardov1,Caribbean Dove
grcdov1,Gray-chested Dove
toldov1,Tolima Dove
ocbdov1,Ochre-bellied Dove
gyhdov1,Gray-headed Dove
grfdov1,Gray-fronted Dove
gredov1,Grenada Dove
paldov1,Pallid Dove
latdov1,Large-tailed Dove
tuqdov1,Tuxtla Quail-Dove
bfqdov1,Buff-fronted Quail-Dove
pbqdov1,Purplish-backed Quail-Dove
wfqdov1,White-faced Quail-Dove
wtqdov1,White-throated Quail-Dove
liqdov1,Lined Quail-Dove
chqdov1,Chiriqui Quail-Dove
